Product,Subtitle,Price,Shipping_Cost,Shipping_Country,Rating,Bids,Bid_Time_Left,Product_Url
Dell PowerEdge T440 T640 M640 FC640 96GB (6x16GB) DDR4 2666MHz PC4-2666V Memory,Open Box,$349.00,+$43.20 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/353776303566?epid=13050903402&hash=item525eb5fdce:g:t3EAAOSwUw5hmEcL
"Dell Latitude E7450 14"" Core i5-5200U 2.20GHz 4GB 512GB SSD WIN10 Laptop (B929)",Pre-Owned · Dell,$129.95,+$107.10 ,United States,Time left,0 bids,6d 6h left,https://www.ebay.com/itm/393873058281?hash=item5bb4a9e9e9:g:n2EAAOSw~Jdh1291
Dell PowerEdge R320 E5-2403 1.80Ghz QC 8GB 1FT3W H310 Server SIlver Peak NX-2700,Pre-Owned,$116.95,Shipping not specified,United States,Top Rated Seller,,,https://www.ebay.com/itm/294726564810?hash=item449f127bca:g:alQAAOSwbGth4f1f
Dell PowerVault MD1000 AMP01 15 Bay SCSI Storage Array,Pre-Owned,$149.99,Shipping not specified,United States,5.0,,,https://www.ebay.com/itm/304308505714?epid=28009501350&hash=item46da334c72:g:MLEAAOSwaI9h4hXv
"Dell Latitude 5404 14"" i5-4310U 2.0GHz 8GB No HDD Rugged Laptop (F5049)",Pre-Owned · Dell,$129.95,+$131.50 ,United States,Time left,0 bids,6d 6h left,https://www.ebay.com/itm/363690997914?hash=item54adac389a:g:oNkAAOSw7Hdh4fCn
Vintage Dell Latitude Notebook - Parts/Repair AS IS,Parts Only · Dell,$13.45,+$83.00 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/274972401226?_trkparms=ispr%3D1&hash=item4005a1de4a:g:hPAAAOSwLEtdzYbd&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSlHY%252FYTip4QFVjNQrCEJt6ngEBJX3JLymdftkiOhzIc9E4ZM6KlTHw79A%252F8X46jU%252BpzNYWMgcwTK%252FYdEIKoqWrOsGrlOfNa4wgpiE59QFl8Cf0pA0sJwCHBtY6FVYo8D715rJgobgXOLRttQroAsXrq1kRUrB0fQ1%252BB5SjxlCCzAcy4%252FxchFJxnAHimhJ00I6nEaurd4Wj8fPUeY1MnnOcxVEbWpgWWxZz%252FE5ErvYwFy2cMNcCm9eK6EYhNqrlMCxKNKM4zRNB3jEVZ95tGlIEdSXqc%252BXcHTb176iTww50lDFCrHyOXH6%252F4w44k%252FqL2rABRCnMXvdRTvDyTMM8Wnk5TlC1RetmFIVNHzq5xmDQI4lhvjQh24SdnlISbn5FDXExgUT8tnz1gchG5GWYlDgt4K7WpcoRGHyjz7oOz62%252FJGEyHoXbdKf8rHT15UgmZflQ4i6TaxthvgugHKI4i5mH8tnvnq75YiJI7ceaIUxlPwvP2toWtTRA0p8kE4KnoRTouaMt0ccAuRkM5WwQbBjZsoJM0XU785rrUOu91N%252FV7kkiV740AgrysGsljHf7FFxkYIyCuTg2y4dx%252FXqEAE2LjXDj7AVFXbaR%252FQbFkqFYKx0Wy9vfX07vA%252FCmOuSKZEAgDpTjMMotCLm8sCNllNxpqu3%252FO0lo2yBXe53XdjT9qNpk1GrM2IupfgwCIwFRluVGniNkYU982Oz2MNKeHThGKZ5mcum5GEJP4Eh%252F3U2MeCVA8TsEgBUQIQeIk0qv1pJrMY9TrPP1k9gOYDPr1zSBbUBw04kIx1mTE3asTQM4m%252BYACXB2VVyA4k1T6j3c0CE%7Cclp%3A2334524%7Ctkp%3ABFBM7K_C5stf
Dell Inspiron 9300 17'' Notebook/Laptop (Intel Pentium M 1.60GHz) Parts/Repair,Parts Only · Dell,$40.45,+$87.00 ,United States,4.0,,,https://www.ebay.com/itm/284608282325?epid=118317523&_trkparms=ispr%3D1&hash=item4243f9bed5:g:l0wAAOSwWAFh4PqB&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSwcmzw5CLtzTE60FqHcnq2OKeEDr3NhMD4bKtYcIujcb%252BkmCHpSrUZ%252ByJTDHM6tS82gOX8em1QlafuHp3zO3Jlkll5bxoziRU0Ra%252FGCDHHakEu7lSi1mWEzIp%252BvWLiy0yiSXunYhSVfwtKyvuBHfgs8PasoqXrE5LzPjVqhoPUfJ2EGvQeykyibZIiMOUE2uqnmSs6Kk1obQNxkh44if%252BKvB24NQsE5o8dYJq8%252B9tSyhnr9YIM1uMeJUV0xqqUNfotCmIGSQtiAFuPEDzTliXV9B7Gb%252BBJO5SWON5xL55sULbdqYHCqGRPfDiJzl8%252BqcfKfyoFuK0tBMkU4tmIpqBClFmkreB6HVSW24dMpGBSx6twH%252BjxSNet70Q1GWtv0vu%252BMyZuYLweYdCLHGN%252B641yz4MC6%252F5Q7vNFz2ooiZVdF1hsu4uQ75CP6QAdRHHBUZJb4o8l9U0izfoyYlMH4nLKxhMx0zb05hkEZniqk%252Bc%252BKZlB3YKEsKHaS0m3fW%252B9pUfQTFYrHBrSU2aC8gHynpIa2ODQ%252BcRo1ehBMF2qh5DMxpzwiTtyV06QnbdkBCvrNEbKCEueM6Xc3pwY%252BRdORoXCPwL6ZzsvyRE3Or10f3aqZEh9gPTG%252F7r%252BARkO3VlFP3CPlErOAzW62T7zsBaLVULF6pFAtQn7S3oq%252BKV1YdqxUz%252F6Z6hNszfMR71VTO%252F2nF%252B5tHMHluBR4RUidO4BT9fzzZ8CPBEH98P%252FcMeFTtRV496J%252B%252BWnTLYf%252B%252BaQbtIaaLdOQE4O%252Fc2tfKvcpC0RcGEVk8lnlEGoIDlxzZKF6XSKzbbxb25kEcnaz6zFaIAJE8I%7Cclp%3A2334524%7Ctkp%3ABFBM7K_C5stf
Dell Latitude C600 15'' Notebook - Parts/Repair AS IS,Parts Only · Dell,$17.95,+$87.00 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/274949891210?_trkparms=ispr%3D1&hash=item40044a648a:g:z8wAAOSwJJVhQ~n-&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSlHY%252FYTip4QFVjNQrCEJt6qvgTqwxVu11HlzuwYjgyfZSt2nhN8Pqsdte%252B6M0HzGmgpHBNBm4TQR3hiPW%252Fn%252Bv%252B0l9xlFkEwMDtbng9AmV0JDfctWhge6ZV7544XjxafO9o5S2CuTJJOXzjAiF1J3DjMtSGmrX0yXEcBpDs3KW36QDDHlnxl3cv%252FXyFttlaU5KSya10IfFHSnuBYXgBl20x%252FdbMKtqxpihBXM4o3cY2E60laHcEHW3V6%252FqddOQIMUAAs2OTcjheU0TjCb3V7NFJwyMxhjJuCCHxRXXXsSBFVvKWliNWUXzVn0cnCjdv%252Fi7OZkPPS9GpOAclkukJjxFvF1ECq3ZsmNWoa9uCFGsMdXBBskSLg0rzkbGsuGD4A%252BCVZe%252FRkd%252Fcl%252FC8prz0DNV7%252Fqe5CUC8hAl9Ssf7PaPYMUBDYMW9eZicRIa5aQzaOIoTJ6AktZlAPQsPXBzJKfbrgTv7CKp%252FAaVAEteaaw8Oom7g4LiUZ1YriVHXtLOBp9UnzxqoBDwQZRUE1OhWj1BOEIR9UrAKdiUFCNUNueg4hIq7LS7zQmMnLnXuFzvvFvkPImj6QafFYx1klRAQ10nZ8XLSpS0mmdNCsanon6aVTWVcf6CrgIsAT4uvqRhuWJZtu3T88d8s7MMR0PzpswOInVRsN0eiLl24ibC9ZGwmffTQtIZDWVPoMP%252Bw17OM0rK9bFCxUqaCe146%252BEfZJ8hW9whMP9639nXSjkcYxS7yStXZk1PjpLVIjrs2h8Wm96tO4cI9pvReU03N8witGFllsFal42ezmkwwl3wMQOJfEhJPyHI7Nwjbt2n%252Ft5Z4I0o%7Cclp%3A2334524%7Ctkp%3ABFBM7K_C5stf
Vintage Dell Inspiron 5000e Notebook - Parts/repair AS IS,Parts Only · Dell,$10.75,+$87.00 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/274973543528?_trkparms=ispr%3D1&hash=item4005b34c68:g:o2oAAOSwomJdzZgP&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSlHY%252FYTip4QFVjNQrCEJt6kgzAJaZsfwfoCVCdyvk3GVsJP4gayv8mmk8zW8XmupCT0foXSWOy%252FWVrlkMESo0ywCrX4nAcMK%252FDSZc4zyiCReToGAra1QM5aXYWe2Wr4Iir7XpE9E5x5Sp%252Fj2Fzf9L23S96pBx1rw5OPaOHvJ5JaM8FFmKgUswHF4GHNLA3sxpgCDCNeUJ3dBjfudxh%252FxaxhY7KWcR5h6NAaZwnHkj1kslvzR9GyAl0JGMdy1u7W845zvnjvZUu2V26pzQDL4TBSwipnFqua86tvBc1K0gvatWigWoN9NZZd6LaE06lyViZQKEUS5oXQELNQjBFEk8W1IxwfJ6kzoDsfc2J2BPtEsgahxH3yPOtEuAJ6%252FRRnBr5XBm9iaDJYZ9TXO1Iwr2X1X0bJIk6cTz82V2x58MuHch%252BCif6a3F8f9RojAZywHhTg17Xr7Y7T3OFwxiTBxnAs0vQfkOXP%252BlllIvPjNVljrAtI7scpWOa0NpO4CCaqp5DKBOgwb3dSO4hCuTgDT7G0xMWJBYPulm%252FsoHOQ7Ni6yScv1q0QCAjSBD%252BhwAj8QGJV%252BGtED%252BE9KZyK7c74JkjdSXlZscVssaKc0S5uxKjzuE8Cmt9L9PsU%252FDZyYosDgj13JqwQTFzmAHnC3OPMxo6SQCvulHccb6Hn57bo2Als0sxFWGeuiscdnoNK6HrythJhkjQyWWf9OIsTMIXkTZDNKwYXzjnOgT4h%252FMBVLyFvvngDzCqzwTG0rnK19q29oW05oyrO7KQnNhUfVKRBl2yPI8L682Z07rlvd40Z6TviOOOGspb5dw9VC97%252FIPS29%252B%7Cclp%3A2334524%7Ctkp%3ABFBM7K_C5stf
"Same Day, Dell iDRAC8 Enterprise License, 13G PowerEdge R730/R630/R530/R430/R330",Brand New,$30.00,Free International Shipping,Taiwan,Top Rated Seller,,,https://www.ebay.com/itm/234144720329?hash=item36841ce5c9:g:azwAAOSw5WVf67-2
Dell 0VNP2H Optiplex 990 Desktop Micro Tower Motherboard LGA1155 DDR3 VNP2H,Pre-Owned,$22.97,+$68.26 ,United States,1.0,,,https://www.ebay.com/itm/294729402345?epid=2249810884&hash=item449f3dc7e9:g:yWsAAOSwm5Ndxcjv
DELL EMC 0DTCR0 PowerEdge R730 Hard Drive HDD SAS Backplane W/ HDD BP 30DayWar,Pre-Owned,$295.00,+$91.44 ,United States,,,,https://www.ebay.com/itm/234377622413?hash=item3691feb38d:g:i~YAAOSwVhdh4fJX
DELL EMC 58D2W Hard Drive Backplane Expansion for DELL EMC POWEREDGE R740XD,Pre-Owned,$595.00,+$91.44 ,United States,,,,https://www.ebay.com/itm/234377618347?hash=item3691fea3ab:g:XaMAAOSwYI9h4e7x
2 PCS DELL USB A TO B MALE Cables & Adapters,Open Box,$3.99,+$60.20 ,United States,Time left,0 bids,2d 8h left,https://www.ebay.com/itm/334291907700?hash=item4dd559b474:g:jwwAAOSwAeFh4hLi
Dell Wireless 1350 802.11 b/g WLAN PC Card PCMCIA,Pre-Owned,$9.12,+$62.45 ,United States,,,,https://www.ebay.com/itm/265500821035?hash=item3dd115062b:g:qnUAAOSwqZ9gzzws
"Dell Latitude E6410 Intel Core i5-560M 2.67GHz No RAM,HDD,OS Laptop computer pc",Parts Only · Dell,$79.99,+$76.75 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/184707276063?_trkparms=ispr%3D1&hash=item2b01695d1f:g:7KkAAOSwCMVgbbzr&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsS7UXID%252BRPOSNsnm8kYPghtBSYd4rrGTluiuJPPl6IYcl77rrNnpc0f6aUgNYn9CbubHMy7Uo6jKRPR4evhVWgJECeWyl56KA1cLRvc3QvjJ919MlsEK%252FYUj4WBIu7NSqZayXubN1%252BYyP5bfXeXf84pLLRfD7n%252FfOqggRY0v2qHpdB%252BQ6sFBAEhxXpVMknyo9R0nwyQ%252Bzwm%252Bwi687TTkY2bRdIbUcjcb5EVs6%252FqzKdPfk0oy4fYugI5N8ZDBdYxN0gjRvmKYI9nZVcgP7dLTX6qA6A7Ml62Y7O3hOJvnGXNl%252BFwLa915WtcCwTlSS10DyIV6NitrOG5YTdLFewIZ6l%252F2RF2pPfvUU15350A%252Fl4vKjGbSRENihCUPDfspX95W1oABc6op04HRLENos%252FEARbnESas%252Fkz2vRPuD1AzEc%252BlMUy66ztXEoYlNGpivWEXNfveIXadpzK6HUyrsu7CCDI68m9p7cli3lAGejEjD7KFgaYOqccoGo5pJ%252BMIv2NpZ6ikid%252FrpzlFduU8SonVJ1gIKfxEL60DoH%252FbKp012LRSpH0n5f7vqQXP1BXzwldemoxJ7Iitt8R%252FplSK3oGPKXpalhRYenRpeuGfO0fs3R%252BmB8jqh32ivXj9%252BPXtWb%252BsZWrwJBdGr386nDj0tM0PZ2Wa8ucTBY%252FXhjLTorsTwwj0qJi%252BTeUZMIR20wk8TnmlbP%252F%252BRdreoAYtfNDa2VOYvdNEOfCX5ax%252B3O%252Bgtp4C1Ez5LDhHsxzGKISvPCXyjYGdlLbIif%252ByI6DdUxBAFPAHGYkhN83c8LmBlwqDMJsCysVYLilU9DEDHGf5rWyrhCEU0w6%7Cclp%3A2334524%7Ctkp%3ABFBM7K_C5stf
Dell Inspiron 2200 14.1'' Notebook (Intel Celeron M 1.50GHz 256MB NO HDD),Parts Only · Dell,$35.95,+$83.00 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/274970533201?_trkparms=ispr%3D1&hash=item4005855d51:g:5LMAAOSwxfRhV3oS&amdata=enc%3AAQAGAAACkPYe5NmHp%252B2JMhMi7yxGiTJkPrKr5t53CooMSQt2orsSlHY%252FYTip4QFVjNQrCEJt6gj9nrF55kDDR5qJYkyUXxEaXpSk6LojMqNmwacLpd2t8SPl0ObLuEsbS8GS4dom%252FVF6KMDjnvUYsDXTw18D5C1R%252B8JGGoVRZyBu7UJD2tMwY100xIfc7T9z5uSlKdyMG0HfMpuJi%252FXDoxtbTff1jNz78R4w2CtmSFcYDusQfHLPbFPFB4hrix72LNxYL1BYDW%252FjsJqXJhgC013GVGp9LuU2aHXYzxk5xHI5tLu11Sr%252FGh1S2H1kpukwTASXAO87D8KIauUxC1lSM0CQNtv5%252BGciZO7wu5oW7bB4ZZ9JcxcA%252F4cotlHx4DYJq9QZEwqyqdKC9F0MbzN3Gv1rvVBOCjWN030EV10OnlCi%252FIHnDNHLwH4MB912B%252BxgH8l2zQuWyoXbER3XJE1vs1BSBKNLBJZi976ZiSVMmT%252Fmgz%252BcjRyYNybI99UhZIHhGGD7T3Z6TPPBSkn21R4d6cZqqFBFQvgmTV1KOyhZaxYSE%252FcwIsmwH%252FcIHI3x9Q1UKW%252FtFeWe%252B%252BARDmmwgc0zqmMaiK5mslgMeiPq6%252BrKGcP5yM96ikqMY1jifhU73b9Yyvd6P5%252FHuBM7HASnkEE2IK9hUu0fn6chmPlbvTnx2zdiEK7yDyJY9nHdXtznZAxWdOQPaBLRu1GkkCQ3BhQkALbFa9bIL1T942ryatjGQndx4mzOpe3Zikvf7ca4zNyCxpz9lLPdyf9fTKsAVhod6aq0ehCdpQG9WW6gqU98xnatz2me%252BtQ3zkQ%252FdZsJutb33ph1AnKX7nPnrSzoWvCDpi6mImWs%252FOyx9LaUVqcoCmG5o60Sg5MG%7Cclp%3A2334524%7Ctkp%3ABFBM7K_C5stf
Dell Babylon 5 Babylon 5 Book 4 - Clark's Law VG+,Pre-Owned,$8.00,+$19.45 ,United States,Top Rated Seller,,,https://www.ebay.com/itm/154796748482?epid=5038272102&hash=item240a9aeec2:g:hQQAAOSws4Nh4tkx
"Dell R620 8B 3x PCI 8-Core 2.40GHz E5-2609 16GB 8x 600GB 2.5"" 10K H710 R1XFC",Pre-Owned,$349.99,+$290.71 ,United States,4.5,,,https://www.ebay.com/itm/383572903475?epid=11031162013&hash=item594eba0633:g:icYAAOSwKOBhCE8H
Dell SonicWALL TZ300 Firewall AC Security Appliance *New Unused*,Open Box,$299.99,+$99.04 ,United States,,,,https://www.ebay.com/itm/384679601431?hash=item5990b0e517:g:4NkAAOSwZidh4evJ
"Dell Latitude E6420 14"" Core i5-2540M 2.60GHz 4GB 500GB HDD WIN10 DVD+RW Laptop",Pre-Owned · Dell · 500 GB,$39.95,+$107.10 ,United States,Time left,0 bids,5d 6h left,https://www.ebay.com/itm/363689609533?hash=item54ad97093d:g:rzYAAOSwnyZh4Kk-
